#Name			Base   Coord   Target	X	Y	Z	RotX	RotY	RotZ	SelX	SelY	SelZ	SelRotX	SelRotY	SelRotZ	PersID	TargetID

Special			$93764C	$20	$0C30	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$043C	$0A18
1.3.4			$925484	$20	$0C30	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$043C	$0A18
1.3.6			$92764C	$20	$0C30	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$043C	$0A18
1.4.0			$95BAA4	$20	$0C30	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$043C	$0A18
1.4.1			$9771BC	$20	$0C30	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$043C	$0A18
1.4.2 PWI		$A5BFCC	$20	$1088	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$043C	$0A18
1.4.2 RuOff		$9C1514	$20	$1074	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0458	$0AF8
1.4.3 PWI		$AD60C4	$30	$10A4	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0458	$0AF8
1.4.4 RuOff		$B280C4	$34	$10E8	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$047C	$0B68
1.4.4 PWI		$B29184	$34	$10E8	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$047C	$0B68
1.4.5 RuOff		$A57ACC	$34	$116C	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0B68
1.4.5 PWI		$A59ACC	$34	$116C	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0B68
1.4.5 Elem 67		$B3FD84	$34	$116C	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0B68
1.4.5 Elem 69		$B4F5FC	$34	$1174	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0B68
1.4.6 Elem 70		$BD9524	$34	$11D0	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0B68
1.4.6 Elem 70Ru		$B9029C	$34	$11D0	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0B68
1.4.7 Elem 80		$BBC9CC	$34	$12B4	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0C20
1.4.7 Elem1 80		$BBB9CC	$34	$12B4	$3C	$40	$44	$2C	$30	$34	$017C	$0180	$0184	$DC	$E0	$E4	$0480	$0C20
1.4.8 El 85 PWI		$C0CDEC	$34	$131C	$3C	$40	$44	$2C	$30	$34	$0180	$0184	$0188	$E0	$E4	$E8	$0484	$0C64
1.5.0 Elem 88		$C392CC	$34	$1340	$3C	$40	$44	$2C	$30	$34	$0180	$0184	$0188	$E0	$E4	$E8	$0494	$0C88
1.5.1 El 101Ch		$C6E84C	$2C	$141C	$3C	$40	$44	$2C	$30	$34	$0180	$0184	$0188	$E0	$E4	$E8	$0494	$0D38
1.5.1 El 101PWI		$C76DCC	$2C	$141C	$3C	$40	$44	$2C	$30	$34	$0180	$0184	$0188	$E0	$E4	$E8	$0494	$0D38
1.5.3			$DA4AE4	$28	$1574	$3C	$40	$44	$6C	$70	$74	$0180	$0184	$0188	$E0	$E4	$E8	$04B8	$05A4
1.5.5 El 156Ch		$E44C4C	$34	$05A4	$3C	$40	$44	$6C	$70	$74	$0180	$0184	$0188	$E0	$E4	$E8	$04B8	$05A4
1.5.5 El 156PWI		$E5B70C	$34	$05A4	$3C	$40	$44	$6C	$70	$74	$0180	$0184	$0188	$E0	$E4	$E8	$04B8	$05A4
